	city	City name (CDP)	City name (carbonn)	City name (PKU)	City name (GEA)	City name (UITP)	City name (WB)	Definition (CDP)	Definition (carbonn)	Definition (WB)	Study year (WB)	Reporting year (CDP)	Scope-1 GHG emissions [tCO2 or tCO2-eq]	Scope-1 source dataset	Scope-1 GHG emissions units	Year of emission	Emissions protocol	Gases included (CDP)	Methodology details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Scope-2 (CDP) [tCO2-eq]	Total emissions (CDP) [tCO2-eq]	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	S1 lower bound [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	S1 mean (CDP) [tCO2]	TOT lower bound [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	TOT mean (CDP) [tCO2]	Scope fraction (CDP)	CO2 emissions per capita (PKU) [tCO2/capita]	City location (CDP) [degrees]	Latitude (others) [degrees]	Longitude (others) [degrees]	Coordinate source (others)	Country	Region	Population (CDP)	Population year (CDP)	Population (carbonn)	Population year (carbonn)	Urban population (PKU)	Population (GEA)	Population (UITP)	Population (WB)	Population year (WB)	Population (others)	Population year (others)	Population source (others)	Population 1950 (WB)	Population 1990 (WB)	Population 2010 (WB)	Population growth rate 1950-2010 (WB) [people/60years]	Population growth rate 1990-2010 (WB) [people/20years]	Ancillary from GEA+	City area (CDP) [km2]	City area (GEA) [km2]	City area (WB) [km2]	Built-up area (PKU) [km2]	City area (others) [km2]	City area source year (others)	City area source (others)	Population density (GEA) [people/km2]	Population density (UITP) [people/km2]	Population density (WB) [people/km2]	Population/sqrt(area) (GEA) [people/km]	Population/sqrt(area) (WB) [people/km]	Average altitude [m]	Average annual temperature (CDP) [degrees Celsius]	Weather station ID (GEA+)	CDD 23C (GEA+) [degrees C × days]	HDD 15.5C (GEA+) [degrees C × days]	HDD 15.5C (clim) [degrees C × days]	CDD 23C (clim) [degrees C × days]	GDP (CDP) [multiple units]	GDP unit (CDP)	GDP year (CDP)	GDP source (CDP)	GDP (carbonn) [multiple units]	nGDP (carbonn) [multiple units]	GDP unit (carbonn)	GDP year (carbonn)	GDP (PKU) [10000 RMB]	Income per capita (PKU) [RMB/capita]	GDP-PPP (others) [$BN]	GDP-PPP/capita (others) [USD/capita]	GDP-PPP source (others)	GDP-PPP year (others)	nGDP (others) [$BN]	nGDP/capita (others) [USD/capita]	nGDP source (others)	nGDP year (others)	GDP-PPP/capita (GEA) [USD/year]	GDP-PPP/capita (UITP) [USD/year]	GDP-PPP/capita (WB) [USD/year]	Total final consumption per capita (GEA) [GJ/capita/yr]	Energy per capita CO2 (WB) [tCO2-eq/capita/yr]	Diesel price (GEA+) [USD/liter]	Gasoline price (GEA+) [USD/liter]	Center of commerce index (GEA+) [dimensionless]	Household size (GEA+) [people/household]	Household size year (GEA+)	Household source (GEA+)	Household size comment (GEA+)	Urbanization ratio (GEA+) [percent]	Water bounded (GEA+)	Other bounded (GEA+)	Mean one-way travel time (others) [minutes]	Mean one-way travel time year (others)	Mean one-way travel time source (others)	Diesel price 2014 (others) [USD/liter]	Gasoline price 2014 (others) [USD/liter]	Household size (others) [people/household]	Household size year (others)	Household size source (others)	Household size comment (others)	Congestion rank (INRIX) [dimensionless]	Peak hours spent in congestion (INRIX) [hours]	INRIX congestion index (INRIX) [dimensionless]	Average congestion rate (INRIX) [percent]	Congestion rank (TomTom) [dimensionless]	Congestion level (TomTom) [× 100 percent]	Congestion change (TomTom) [× 100 percent]	Morning peak (TomTom) [percent]	Evening peak (TomTom) [percent]	Economy (IESE) [dimensionless]	Environment (IESE) [dimensionless]	Governance (IESE) [dimensionless]	Human capital (IESE) [dimensionless]	International impact (IESE) [dimensionless]	Mobility and transportation (IESE) [dimensionless]	Public management (IESE) [dimensionless]	Social cohesion (IESE) [dimensionless]	Technology (IESE) [dimensionless]	Urban planning (IESE) [dimensionless]	CIMI (IESE) [dimensionless]	CIMI ranking (IESE) [dimensionless]	CIMI performance (IESE) [dimensionless]	Urban area name (UEX)	Low BUA - 1990 (UEX) [km2]	Low BUA - 2000 (UEX) [km2]	Low BUA - 2014 (UEX) [km2]	High BUA - 1990 (UEX) [km2]	High BUA - 2000 (UEX) [km2]	High BUA - 2014 (UEX) [km2]	Low BUA % - 1990 (UEX) [percent]	Low BUA % - 2000 (UEX) [percent]	Low BUA % - 2014 (UEX) [percent]	High BUA % - 1990 (UEX) [percent]	High BUA % - 2000 (UEX) [percent]	High BUA % - 2014 (UEX) [percent]	Low BUA population density - 1990 (UEX) [people/km2]	High BUA population density - 1990 (UEX) [people/km2]	Low BUA population density - 2000 (UEX) [people/km2]	High BUA population density - 2000 (UEX) [people/km2]	Low BUA population density - 2014 (UEX) [people/km2]	High BUA population density - 2014 (UEX) [people/km2]	Exports (others) [m3]	Production (others) [m3]	Natgas Export/Production ratio (others)	CH4_waste/capita (others) [tCH4/capita]	CH4_waste+natgas/capita (others) [tCH4/capita]	Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita]	Year from CIA (others)	AQF (CDP/GEA)	AQF (CDP/WB)	AQF (CDP/OTHERS)	AQF (PKU/GEA)	AQF (PKU/WB)	AQF (PKU/OTHERS)	PQF (CDP)	PQF (carbonn)	PQF (WB)	PQF (WB2010)	PQF (OTHERS)	HQF (GEA+)	HQF (OTHERS)	MethodNum	MethodColour	nGDP category	s1 per cap	S1 per capita
183	Makati	City Government of Makati						Administrative boundary of a local government				2016.0	462586.0	CDP	tCO2-eq	2011.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O	Guidance from the following sources was also used: GHG Management in Local Governments: A Guide developed by the Greenhouse Gas Management Institute (GHGMI) with funding support from USAID, International Local Government Greenhouse Gas Emissions Analysis Protocol (IEAP) developed by ICLEI, and the newly published Global Protocol for Community-Scale Greenhouse Gas Emissions* from WRI, ICLEI and the C40 Climate Leadership Gourp were also used to supplement the GHG Protocol. *GPC Pilot version 1.0 (May 2012) was re;eased as draft and opened for comments while the GHG inventory was taking place in Makati. The approach taken to complete the inventory is mostly similar to the one recommended in the Protocol, but there are some differences in content and terminology (e.f. defining inventory boundaries in terms of 'geographic' and 'geographic+' instead of 'basic' and 'basic+'.	Increased	Scope 1 (Stationary Energy and Transport) and Scope 3 (Solid Waste) increased due to the following reasons: a. During daytime, the City's population increases to more than 4 million as people from the Metropolitan Manila and other provinces go to the city to work, shop, do business, or simply dine and be entertained. b. With the increasing population, waste generation also increases. c. Increased construction and development projects are also observed leading to increased in the demand for energy. d. More than 800,000 vehicles traverses the City each day as the City host of three (3) Metro Rail Transit (MRT) and Philippine National Railways (PNR) stations and gateway of four (4) major roads.	1197784.0	1660370.0		A	338124.013146	348620.651609	343372.332377	1535908.01315	1546404.65161	1541156.33238	1.0		(14.559004, 121.081632)	14.55	121.03	https://en.wikipedia.org/wiki/Makati	Philippines	Southeast Asia	529039.0	2010.0								582602.0	2015.0	https://en.wikipedia.org/wiki/Makati#cite_note-PSA15-13-3							27.4				21.73	2013.0	https://en.wikipedia.org/wiki/Makati#cite_note-arearef1-1;  https://en.wikipedia.org/wiki/Makati#cite_note-arearef2-2											0	1037		PHP     Philippine Peso	2015.0	Budget of Expenditures and Sources of Financing NEDA										2008.0																							0.82	1.05																											see: Manila Urban Area																			0.0	1.0	0.0	0.0076935557	0.0084021612	0.0084021612				1.0				1.0				1.0			1	#75766D		0.589377194684	0.794000020597
184	Malang		City of Malang						Municipality				775422.0	carbonn	tCO2-eq	2017.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		-7.969634	112.633156	carbonn	Indonesia	Southeast Asia			881794.0							887443.0	2016.0	Wikipedia											145.28	2016.0	Wikipedia											0	489					51827980000.0	60147601659.0	USD	2017.0							60.147601659		carbonn, scaled to $BN USD																				0.8	0.93					85.0	39.0	9.1	20.4%																			Malang Urban Area	540.9375	629.0625	683.4375	223.0625	315.5	368.375	0.708033376963	0.665982928605	0.649771228237	0.291966623037	0.334017071395	0.350228771763	5354.23835692	32572.7770399	1070.02959717	8209.17281258	962.179234018	7690.11796478																		1.0			1	#75766D	2.0	0.873771047831	0.873771047831
185	Manchester	Greater Manchester			Manchester	Manchester		A metropolitan area				2016.0	9587290.0	CDP	tCO2-eq	2013.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3	A GPC Compliant dataset has been established for Greater Manchester, including primary data from 2013. This work has been undertaken by Anthesis, who also support the World Resources Institute in the development of Carbon Reduction and emissions reporting and trajectory methodologies and reporting tools.	Decreased	Emissions decreased from is 18.4 to 18 million tonnes between 2012 and 2013. This represents a change from our 2015 GHG emissions tonnage figure.  This is due to inclusion of scope 3 emissions included in the Basic/Basic+ element of the inventory which GM commissioned which is now compliant with  the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI).  Previous submissions to CDP only included scope 1 and 2 emissions which drew directly from the national government DECC Local and Regional CO2 Emissions Estimates for 2005-2012 which used similar but not identical methodologies. This is part of a longer trend of decreasing emissions, punctuated with occasional increase years. Primary factors which determine the performance are the use of coal in any one year for grid electricity generation, and weather conditions during spring and autumn, where an extended heating season can occur if these are cold. A decline in total energy consumption is the most significant long term trend factor, due to the uptake of more energy efficient appliances, home adaptations, goods, services and transport	5302028.0	14889318.0	S1 derived from TOT - S2 in CDP2016 dataset	C	7730420.18208	8184704.33584	7957562.25896	13032448.1821	13486732.3358	13259590.259	1.0		(53.4575955, -2.1578377)	53.467	-2.233333	https://en.wikipedia.org/wiki/Manchester	United Kingdom	Europe	2762000.0	2014.0				2553300.0	2578300.0			2547700.0	2001.0	(Greater Manchester) https://en.wikipedia.org/wiki/Demography_of_Greater_Manchester (census)						1.0	1277.0				1280.0		(Greater Manchester Larger Urban Zone) https://en.wikipedia.org/wiki/Demography_of_Greater_Manchester	2001.018809	5157.0				250.0	9.5	EGCC	2.0	2227.0	2020	0	87773000000.0		2013.0	UK ONS (using 1.56 USD/GBP) Figures provided is a GVA not GDP figure							92.26	35029.0	[1]	2014.0	82.0	31696.9462698	[19]		30938.2217517	14491.27		89.6528245484		1.65	1.44		2.24	2004.0	http://www.urbanaudit.org		79.007	0.0	Mountains	42.9	2008	survey (ref??) http://www.telegraph.co.uk/motoring/news/3122428/Birmingham-worst-place-for-commuting-survey.html	1.99	1.92	2.32	2009	AGMA Association of Greater Manchester Authority, Update Report May 2010, https://www.google.fr/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwj9pP_ni-PUAhUMB8AKHZiiCHYQFggiMAA&url=http%3A%2F%2Fwww.manchester.gov.uk%2Fdownload%2Fdownloads%2Fid%2F14074%2Fgm_strategic_housing_market_assessment_shma_update_may_2010.pdf&usg=AFQjCNEDN9v51JM_Z_StiuQjckb6G_WpvQ		82.0	39.0	6.7	9.9%	39	0.38	0.01	68%	79%	52.0	73.0	22.0	25.0	103.0	125.0	63.0	37.0	100.0	76.0	68.59	57.0	RA	Greater Manchester Urban Area	513.75	556.4375	619.875	1155.6875	1191.5625	1248.3125	0.307738384935	0.318328089245	0.331805560202	0.692261615065	0.681671910755	0.668194439798	336.699877777	4293.23384188	465.270862418	3489.28421693	387.760414609	3605.30173754	10550000000.0	40990000000.0	0.26	0.0181362582	0.0260463068	0.0240104197				1.0				1.0				0.0	1.0	1.0	1	#75766D	2.0	3.12342986182	3.76311575146
186	Melbourne	City of Melbourne			Melbourne	Melbourne		Administrative boundary of a local government				2016.0	785326.0	CDP	tCO2-eq	2015.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O; HFCs; PFCs; SF6	City of Melbourne includes the emissions sources categorised in the GPC. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts. Electricity, gas and water data was provided directly by the utility companies. Emissions from private vehicle use were estimated using a transport model built by Council which incorporates data from twice yearly traffic surveys and data on vehicle use collected by the Australian Bureau of Statistics. The amount of waste produced within the municipality was estimated from a waste survey commissioned by Council and conducted in 2012. Water-borne emissions were included from a private study commissioned by the Port Authority in 2012.	Decreased	2013/14 BASIC (including Scope 3 emissions) totals 5,299,572 tCO2e compared to 2014/15 BASIC (including Scope 3 emissions) 5,268,410 tCO2e. This represents a total change of -0.59%. Despite electricity consumption decreasing in the municipality leading to lower scope 2 emissions, scope 1 and 3 emissions have increased. Over this time, the population has increased by 4.96%.	3587094.0	4372420.0		A	655280.795964	678018.796639	666649.796302	4242374.79596	4265112.79664	4253743.7963	1.0		(-37.814107, 144.96328)	-37.814	144.963056	https://en.wikipedia.org/wiki/Melbourne	Australia	Oceania	137889.0	2016.0				3892419.0	3138147.0			138000.0	2016.0	http://www.c40.org/cities/melbourne						1.0	38.0	2640.35			38.0	2016.0	http://www.c40.org/cities/melbourne	1474.20569243	1368.0		75751.0808313		31.0	15.0	94868	177.0	685.0	1176	62	90600000000.0	AUD     Australian Dollar	2015.0	http://melbourne.geografia.com.au/							178.392	40244.0	[1]	2014.0	221.4	54344.6244477	[3], [19]		37077.7971834	21475.54		123.344891698		0.94	0.74	49.93	2.7	2011.0	http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/1GSYD?opendocument&navpos=220#householdcomposition		88.182	1.0		37.32	2014-2017	https://www.numbeo.com/traffic/in/Melbourne [BASED ON 81 CONTRIBUTORS]	1.28	1.23	2.1	2011	http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/CED231?opendocument&navpos=220 [Commonwealth Electoral Divisions, population 177,632]						58	0.33	0.04	55%	58%	26.0	60.0	5.0	38.0	50.0	22.0	23.0	28.0	29.0	15.0	82.06	14.0	RA	City of Melbourne Urban Area	568.375	573.9375	547.3125	1625.25	1686.625	1804.1875	0.259103082797	0.253891454008	0.232750372103	0.740896917203	0.746108545992	0.767249627897	197.689246828	2117.26105519	147.029399654	1779.15156267	92.1690297245	2118.04496722	31610000000.0	62640000000.0	0.5	0.0277933709	0.039682077	0.0336826837		0.0		1.0				1.0				1.0	1.0	1.0	1	#75766D	5.0	4.83079562537	5.69076811594
187	Mexico City	Mexico City			Mexico City		Mexico City 	Other: the inhabitants, commercial establishments, services and industries located in the territory of Mexico City area		City 	2000.0	2016.0	16842493.45	CDP	tCO2-eq	2014.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O; HFCs	Quality Assurance/Quality Control. Activities include calculations revision, data management, verification procedures and uncertainties calculation. With models adapted for the Mexico City	Decreased	Emissions Inventory has a reduction of  4% due to: • Lower consumption of fossil fuels in the residential sector • Emission factor from grid-supplier energy consumed was actualize in 2012 it was 0.652 t CO2/MWh, now for 2014 Emissions Inventory it´s 0.49 t CO2 /Mwh. • The percentage to estimated emission by distribution losses from grid supplied changed from 16.6% in 2012 to 13.85% in 2014. • Scope 3 emissions are higher becasuse the freight transport increased. We use vehicular traffic counts published by  the Secretaría de Comunicaciones y Transportes to know the number of vehicles entering and leaving to Mexico City, comparing  2012 vs 2014: Heavy trucks +28%,  tractor units +42%, private vehicles +8% • On the last inventory report (2012) we estimated the emissions from closed landfills (scope 1 and 3), now we estimated the residual emissions from closed landfills and active ones (newly open 2-3 years), as well as emissions from unmanaged landfills, like open dumpsites.; because of that, the 2014 emissions are bigger than 2012. •For water treatment in  2014 inventory we did a TOW (Total Organics in Wastewater) update for untreated wastewater, and we adjusted the TOW according to the type of treatment systems plants wastewater reported for 2014.	6812617.51	23655110.96		A	12529046.6333	14883902.5592	13706474.5963	19341664.1433	21696520.0692	20519092.1063	1.0		(19.4326077, -99.133208)	19.433	-99.133333	https://en.wikipedia.org/wiki/Mexico_City	Mexico	Latin America & Caribbean	8874724.0	2014.0				8669594.0		8669594.0	2000.0	8874724.0	2014.0	(Federal District) https://en.wikipedia.org/wiki/List_of_cities_proper_by_population#cite_note-52	2883000.0	15312000.0	20142000.0	1.03293017776	1.01380291019	1.0	1485.0	1485.0	1485.0		1485.49	2005.0	Federal District, https://en.wikipedia.org/wiki/List_of_cities_proper_by_population#cite_note-ConapoZM-53	5838.11043771		5838.11043771	224975.659177	224975.659177	2240.0	16.0	MMMX	113.0	487.0	5	2547	2.582213e+12	MXN     Mexican Peso	2014.0	INEGI							403.561	19239.0	[1]	2014.0	255.1	12680.8172193	[3], [19] 		16813.5997362		16813.5997362	40.0053281535	3.7	0.54	0.74	43.33	3.9	2010.0	http://www3.inegi.org.mx/sistemas/mexicocifras/default.aspx?e=9		76.308	0.0	Mountains	75.0		http://mexiconewsdaily.com/news/45-days-a-year-spent-commuting-in-cdmx/, citing research by the newspaper El Universal (cannot find original report) but in line with Instituto de Geografía 2008 report  http://www.ub.edu/geocrit/sn/sn-273.htm	1.02	1.03	3.4	2016	INEGI, http://www.beta.inegi.org.mx/app/areasgeograficas/?ag=24#		14.0	62.0	12.9	13.3%	1	0.66	0.07	96%	101%	38.0	138.0	29.0	81.0	56.0	33.0	71.0	154.0	73.0	83.0	62.22	87.0	RA	Mexico City Urban Area	958.25	1025.125	1061.75	1718.0625	1885.1875	2049.4375	0.358048621004	0.35223880597	0.341268406356	0.641951378996	0.64776119403	0.658731593644	1091.61895407	8798.77629293	1090.28353913	10582.035897	1070.60092695	10818.9758003	2973000000.0	7800000000.0	0.38	0.0078818986	0.0231951974	0.0173584747		1.0	1.0	1.0				1.0		0.0	1.0	1.0	1.0	1.0	1	#75766D	5.0	1.5444395337	1.8978047599
188	Milano	Comune di Milano			Milano (Milan)	Milan		Administrative boundary of a local government				2016.0	3728678.0	CDP	tCO2	2013.0	Other	CO2	We didn't adopt any specific Protocol, anyway, let apart a few details,  the adopted methodology is compliant with the GPC Protocol. Just part of it. With respect to compact basic requirements (first year after the adhesion) only urban railway is missing, we are collecting data regarding this		The most reliable comparison (for data completeness and coherence in the methodology ) can be made with reference to year 2005. CO2 emissions decreased as a whole  This is partially due to a decrease in the electricty national emission factor (due to better technologies and to the increasing quota of renewable energy sources ). Anyway if we calculate the emission inventory in 2005 and 2013 with the same electricity emission factor there is still a decrease in emissions Despite a litlle increase in population there was a reduction both in the bulding and in the mobility sector. Regarding buildings there was a progressive fuel switch from diesel oils to methane, more efficient boilers, an extension of the district heating service and a reduction in domestic electricity consumption. We registered also a decrease in traffic that together with the renovation of circulating vehicles generated a decrease of CO2 emissions in the mobility sector	2248100.0	5976779.0		A							0.999999832686		(45.802578, 9.086356)	45.467	9.183333	https://en.wikipedia.org/wiki/Milan	Italy	Europe	1350680.0	2014.0				3721428.0	2460000.0			1350000.0	2016.0	http://www.c40.org/cities/milan						1.0	182.0				182.0	2016.0	http://www.c40.org/cities/milan	2000.0	7664.0				122.0	15.5	LIML	263.0	1649.0	2650	0											312.108	41147.0	[1]	2014.0	358.0	44777.9862414	[19]		38940.5989945	24971.84		108.356693237		1.63	1.57	54.73	1.95	2004.0	http://www.urbanaudit.org		67.588	0.0	Mountains	26.7	2009	TORONTO AS A GLOBAL CITY:Scorecard on Prosperity – 2015, pg. 25, report by Toronto Board of Trade (downloaded fie: Toronto_scorecard_2015.pdf)	2.01	2.14	1.8	2013	eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en]		137.0	33.0	5.6	9.0%	72	0.3	0.01	61%	54%	56.0	46.0	79.0	35.0	23.0	15.0	69.0	71.0	61.0	14.0	73.66	38.0	RA	Comune di Milano Urban Area	650.5	668.4375	675.3125	1338.0625	1395.5625	1478.625	0.327120721627	0.323855377907	0.313524649624	0.672879278373	0.676144622093	0.686475350376	831.378768429	9446.75429578	299.898277218	3373.213272	307.961815051	3413.23957078	68000000.0	7800000000.0	0.01	0.0113831309	0.0151458624	0.0151130591				1.0				1.0				1.0	1.0	1.0	5	#F7D76F	5.0	2.7619837037	2.7619837037
189	Minneapolis	City of Minneapolis			Minneapolis		Minneapolis 	Administrative boundary of a local government		City 	2005.0	2016.0	2890572.0	CDP	tCO2-eq	2014.0	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	CO2; CH4; N2O	"A note regarding how double counting is avoided for stationary sources: - natural gas consumption at stationary sources is removed from natural gas total and the associated emissions are part of the electricity sector.  
- electricity production due to waste incineration is removed from the electricity total and the associated emissions are part of solid waste sector."	Increased	Heating degree days increased 5.7% over the 2013 inventory, leading to a 8.9% increase in natural gas use.  The natural gas increase was the major contributor to the overall rise.  Electricity use fell 1.2%, while other categories changed less than 1% or total contribution to the inventory was negligible and of low confidence (solid waste).	1904136.0	4794708.0		A	2483930.42093	2688771.82125	2586351.12109	4388066.42093	4592907.82125	4490487.12109	1.0		(44.983334, -93.26667)	44.983	-93.266667	https://en.wikipedia.org/wiki/Minneapolis	USA	North America	407207.0	2014.0				378622.677957		387711.0	2005.0	413651.0	2016.0	https://www.census.gov/quickfacts/fact/table/minneapoliscityminnesota/PST045216	996000.0	2087000.0	2802000.0	1.01738847402	1.01483931639	1.0	139.8	151.3	151.3		139.7817603	2010.0	https://www.census.gov/quickfacts/fact/table/neworleanscitylouisiana,minneapoliscityminnesota,losangelescitycalifornia/PST045216	2502.46317222		2562.53139458	30781.314263	31520.1778156	264.0	7.9	KMSP	193.0	3512.0	1428	27	2.357e+11	USD     US Dollar	2014.0	http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=33460&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels							211.398	60544.0	[1]	2014.0	181.0	54948.391014	[19]		59580.9114286		59580.9114286	157.362236594	18.28	0.78	0.56		2.53	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table		80.731	0.0		22.7	(2011-2015) 		0.97	0.86	2.27	2011-2015	https://www.census.gov/quickfacts/fact/table/minneapoliscityminnesota/PST045216		81.0	40.0	6.4	6.9%	166	0.16	0.01	27%	42%														City of Minneapolis Urban Area	587.9375	582.375	577.875	1302.9375	1436.3125	1531.0	0.31093409136	0.288491903774	0.274020508565	0.68906590864	0.711508096226	0.725979491435	242.963151327	1236.25317636	321.66122086	1367.29719446	290.555084075	1409.13385129	42870000000.0	7.662e+11	0.06	0.0176989817	0.0367294791	0.0356646952		1.0	1.0	1.0				1.0		0.0	1.0	1.0	1.0	1.0	2	#9ADCB9	4.0	6.25249575388	6.98794877808
190	Moita	Município de Moita						Administrative boundary of a local government				2016.0	49910.0	CDP	tCO2	2013.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2	This energy consumption ´s data were collected from Directorate General for Energy and Geology (DGEG)	Decreased	Consumption reduction	46598.0	96508.0		A							1.0		(41.30284, -8.65731)	38.65	-8.983333	https://en.wikipedia.org/wiki/Moita	Portugal	Europe	66029.0	2011.0								66029.0	2011.0	https: THIS MOITA IS NEAR LISBON, NOT NEAR PORTO ACCORDING TO CDP LAT/LON COORDS.//en.wikipedia.org/wiki/Moita. NB:							55.0				55.26		https://en.wikipedia.org/wiki/Moita						10.0	17.5				464	73														2008.0																				36.867013087	2011	Statistics Portugal, Population and housing census – 2001; https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_indicadores&indOcorrCod=0000685&selTab=tab0&xlang=en	1.64	1.89																											see: Lisbon Urban Area																			0.0	1.0	0.0	0.0311275785	0.0361368851	0.0361368851				1.0				1.0				1.0			1	#75766D		0.755879992125	0.755879992125
191	Montreal	Ville de Montreal				Montreal		Other: The regional entity that constitutes the agglomeration of Montreal (it is not the metropolitan area of Montreal whitch is bigger than the agglomeration of Montreal) - see Question 1 in the Introduction for more information				2016.0	13634331.0	CDP	tCO2-eq	2009.0	2006 IPCC Guidelines for National Greenhouse Gas Inventories	CO2; CH4; N2O	2006 IPCC Guidelines for National Greenhouse Gas Inventories AND Guide d'inventaire des émissions de gaz à effet de serre d'un organisme municipal (MDDEP, 2009)	Stayed the same	We have not produced a new inventory.	88611.0	13722942.0		A	9752290.9217	11159093.9265	10455692.4241	9840901.9217	11247704.9265	10544303.4241	1.0		(45.5086699, -73.5539925)	45.5	-73.566667	https://en.wikipedia.org/wiki/Montreal	Canada	North America	1886481.0	2011.0					3224130.0			1704694.0	2016.0	https://en.wikipedia.org/wiki/Montreal#cite_note-cp2016-2						1.0	500.0				431.5	2016.0	https://en.wikipedia.org/wiki/Montreal#cite_note-mamrot-1		3170.0				17.0	6.8	CWTA			1579	14	1.20118e+11	CAD     Canadian Dollar	2014.0	Ville de Montréal, Montréal en statistiques, http://ville.montreal.qc.ca/portal/page?_pageid=6897,67887843&_dad=portal&_schema=PORTAL							155.905	38867.0	[1]	2014.0	151.0	39129.3081109	[19]			16065.68				0.9	0.76	51.6					80.122			29.7	2011	2011 census, Table 2 in http://www12.statcan.gc.ca/nhs-enm/2011/as-sa/99-012-x/99-012-x2011003_1-eng.pdf	1.16	1.17	2.8	2011	average number of persons per census family [http://www12.statcan.ca/nhs-enm/2011/dp-pd/prof/details/page.cfm?Lang=E&Geo1=CSD&Code1=2466023&Data=Count&SearchText=montreal&SearchType=Begins&SearchPR=24&A1=All&B1=Families%20and%20households&Custom=&amp;TABID=1#tabs2]		27.0	52.0	9.7	14.0%	86	0.29	0.03	48%	59%	29.0	65.0	8.0	54.0	52.0	90.0	32.0	46.0	47.0	34.0	76.49	31.0	RA	Ville de Montreal Urban Area	321.75	326.0	321.3125	892.5625	968.3125	1052.5625	0.264964743425	0.251871167125	0.233873168956	0.735035256575	0.748128832875	0.766126831044	433.494175565	2060.95337454	390.126783051	3098.02679116	258.006415062	3271.44411986	77960000000.0	1.515e+11	0.51	0.046860437	0.1017275144	0.0734936045				1.0				1.0				0.0		1.0	3	#DCCDA1	4.0	6.13347171053	7.99811051133
192	Msunduzi		Msunduzi Local Municipality		Msunduzi 				Municipality				1289214.0	carbonn	tCO2-eq	2015.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		-29.6179	30.3825	carbonn	South Africa	Africa			618536.0	2011.0		562373.0				618536.0	2011.0	Wikipedia						1.0		634.0			634.0	2011.0	Wikipedia	887.023659306			22334.6850516				FADN	292.0	93.0	356	74					1.78449310508e+11	2.10255077801e+11	USD	2011.0											5472.64960218			52.0		0.95	0.87		4.58	2007.0	http://www.statssa.gov.za/community_new/content.asp?link=interactivedata.asp	Calculation: pop/household (616733/134390)	59.256	0.0	Mountains				1.17	1.19																											Msunduzi Urban Area	86.5625	105.375	119.75	79.375	104.375	111.0625	0.521657250471	0.502383790226	0.518819388031	0.478342749529	0.497616209774	0.481180611969	458.032659389	7490.96734669	1136.96441405	3477.65041675	1065.24291441	3887.377298															1.0			1.0	1.0		1	#75766D		2.08429905454	2.08429905454
193	Mudanjiang			Mudanjiang									744132.012382	PKU	tCO2	2010.0	Statistical																0.462093915341		44.55	129.633333333	wikipedia	China	East Asia					1610348.0					965154.0		wikipedia, urban values										74.3	2495.0		(urban), from wikipedia											4737	7									2354881.0	32498.01				2008.0	4.0	4145.07772021	[19]																				1.09	1.17																											Mudanjiang Urban Area	53.3125	56.6875	60.0	93.4375	97.625	103.5	0.3632879046	0.367355204536	0.366972477064	0.6367120954	0.632644795464	0.633027522936	802.226980268	7039.66409644	906.039240323	7747.26984918	750.726131184	7651.12212119													0.0								6	#F7D76F	1.0	0.770998216224	0.462093915341
