	city	country	Boundary (CDP)	City Location (CDP)	lat (external)	lon (external)	Geographic group	Current Population (CDP)	pop (external)	quality flag population	area [km2] (external)	pop density (calculated from external sources)	Average annual temperature (in Celsius) (CDP)	Average altitude (m) (CDP)	mean TT [min]	CDD_23C	HDD_15.5C	CDD_23C (FMB)	HDD_15.5C (FMB)	Reporting Year (CDP)	Measurement Year (CDP)	Measurement year only (CDP)	Total City-wide Emissions (metric tonnes CO2e) (CDP)	Total Scope 1 Emissions (metric tonnes CO2e) (CDP)	Total Scope 2 Emissions (metric tonnes CO2e) (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	Gases included (CDP)	scope fraction (CDP)	TOT lower bd [tCO2]	TOT upper bd [tCO2]	TOT mean [tCO2]	S1 lower bd [tCO2]	S1 upper bd [tCO2]	S1 mean [tCO2]	S1 mean [tCO2]/cap	Scope 1 (orig)/cap	Primary Methodology (CDP)	Methodology Details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Urban Area Cluster (FC)	Low BUA 1990 (FC)	Low BUA 2000 (FC)	Low BUA 2014 (FC)	High BUA 1990 (FC)	High BUA 2000 (FC)	High BUA 2014 (FC)	Low BUA % 1990 (FC)	Low BUA % 2000 (FC)	Low BUA % 2014 (FC)	High BUA % 1990 (FC)	High BUA % 2000 (FC)	High BUA % 2014 (FC)	Low BUA pop density 1990 (FC)	High BUA pop density 1990 (FC)	Low BUA pop density 2000 (FC)	High BUA pop density 2000 (FC)	Low BUA pop density 2014 (FC)	High BUA pop density 2014 (FC)	diesel_price (2014)	gasoline_price (2014)	household_size (updated)	year_household_size (updated)	AVERAGE CONGESTION RATE (INRIX)	INRIX CONGESTION INDEX (INRIX)	PEAK HOURS SPENT IN CONGESTION (INRIX)	RANK (INRIX)	Congestion Level (TomTom)	World Rank (TomTom)	Congestion change (TomTom)	Morning Peak (TomTom)	Evening Peak (TomTom)	human capital (IESE)	social cohesion (IESE)	economy (IESE)	public management (IESE)	governance (IESE)	environment (IESE)	mobility and transportation (IESE)	urban planning (IESE)	international impact (IESE)	technology (IESE)	CIMI (IESE)	CIMI Ranking (IESE)	CIMI Performance (IESE)	GDP-PPP combined	GDP-PPP combined/cap	s1 to use	pop to use	s1 per capita	LB S1 per capita	UB S1 per capita	s1 per gdp	LB S1 per gdp	UB S1 per gdp	MethodNum	s1 per gdp [kgCO2/USD]	GDP-PPP combined [USD]
97	London, ON	Canada	Administrative boundary of a local government	(42.9837, -81.2497)	42.984	278.75	groupCan	375000.0	383822	1.0	420.35	913.100987273	7.9	251.0	21.1			3	2430	2016	2014-12-31 00:00:00	2014	3070000.0	2771000.0	299000.0		Grade A	CO2; CH4; N2O	1.0	2298317.15275	2577965.4115	2438141.28212	1999317.15275	2278965.4115	2139141.28212	5.70437675233	7.38933333333	International Emissions Analysis Protocol (ICLEI)	as adapted by ICLEI Canada for use in the FCM's Partners for Climate Protection Program	Increased	"Winter temperatures in 2014 were below normal (i.e., the ""Polar Vortex"") compared to 2013 (normal winter temperatures) and the unusually warm winter of 2012. As a result, overall natural gas use was up by eight percent in 2014 compared to 2013.

Total greenhouse gas emissions from London have decreased compared to the peak in 2007. In 2014, greenhouse gas emissions were 19 percent lower than 2007. In fact, London's emissions in 2014 were six percent lower than the 1990 level used to benchmark emission reduction efforts. This is below the Kyoto Protocol objective (six percent below 1990) that Canada had previously committed to.

Greenhouse gas emissions associated with electricity are significantly lower in 2014 (about 80 percent) than their peak in 2003. In 2014, only 0.1 percent of Ontario's electricity demand was generated by burning coal as these plants were shut down, and 10 percent was generated by burning natural gas. The rest of Ontario's electricity demand was met with emissions-free generation: 62 percent nuclear, 24 percent hydroelectric, 4 percent wind and other renewables.

Conservation and peak demand reduction programs also contribute to lower emissions from power generation. Unfortunately, lower demand from the economic slow-down in manufacturing sector also contributes to lower emissions."	London, ON Urban Area Cluster	66.5	71.5	82.8125	136.1875	147.6875	171.4375	0.328091273512	0.309691391446	0.325712881023	0.671908726488	0.63968597726	0.674287118977	457.33143394	2061.73323856	337.52142083	2167.67844227	164.236721035	2209.82892535	1.16	1.17	2.9	2011					0.2		0.02	25%	34%																2139141.28212	375000.0	5.70437675232	5.33151240733	6.07724109733				4		
98	Los Altos Hills	USA	Administrative boundary of a local government	(37.3797, -122.1375)	37.371	237.863	groupUSA	8334.0	8501	1.0	22.791912	372.983188071	14.3	89.0	23.9			135	186	2016	2015-12-31 00:00:00	2015	57243.0	47552.0	9691.0		Grade A	CO2	1.0								5.70578353732	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	We also participated in the GPC community inventory pilot in 2015. We were the only city from the US in their initial pilot.	Decreased	From 2014 to 2015 our emissions decreased from 78,678 MT to 77,583 MT. This was primarily due to decreased VMT (data obtained from state agencies) and reductions in Heating Fuel use due to a milder winter.																				0.97	0.86	2.71	2011-2015																									47552.0	8334.0	5.70578353732						2		
99	Los Angeles	USA	Administrative boundary of a local government	(34.0522342, -118.2436849)	34.05	241.75	groupUSA	3928864.0	3976322	1.0	1213.8506133	3275.79189435	18.0	95.0	28.6	202.0	371.0	528	1154	2016	2013-12-31 00:00:00	2013	29024807.0	19595119.0	9429688.0	S1 derived from TOT - S2 in CDP2016 dataset	Grade B	CO2; CH4; N2O	1.0	25101398.3628	27077774.0229	26089586.1929	15671710.3628	17648086.0229	16659898.1929	4.24038556511	4.98747704171	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased	Two primary reasons for the slight reduction are reduction in GHG intensity of electricity system and increased fuel economy of light duty vehicles. From 1990, the decline of manufacturing withing LA city limits also contributed to the decline.	Los Angeles Urban Area Cluster	1060.5	1086.6875	1090.3125	5517.6875	5720.6875	5964.75	0.161214620289	0.15827226799	0.154543280091	0.838785379711	0.833198306859	0.845456719909	209.115503255	2266.88755466	163.578104003	2419.56644199	119.280588577	2557.36592341	0.97	0.86	2.84	2011-2015	12.7%	18.6	104.0	1.0	0.45	12	0.04	62%	84%	5.0	126.0	5.0	13.0	11.0	130.0	130.0	36.0	36.0	15.0	80.82	18.0	RA	860.452	65082.0	16659898.1929	3928864.0	4.24038556512	3.98886557611	4.4919055541	19361.7984419	18213.3464305	20510.2504531	1	0.0193617984419	8.60452e+11
100	Madrid	Spain	Administrative boundary of a local government	(40.1076253, -3.3875673)	40.383	356.283	groupEurope	3156572.0	3207247	1.0	605.77	5294.49626096	15.0	655.0	31.21	381.0	1495.0	42	1341	2016	2013-12-31 00:00:00	2013	10257048.0	6795577.0	3250803.0		Grade A	CO2; CH4; N2O; HFCs; PFCs; SF6	0.979461147106	9011663.46824	9105882.40253	9058772.93539	5550192.46824	5644411.40253	5597301.93539	1.77322168966	2.15283446726	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased	"Indirect (Scope 2 + Scope 3) emissions decreased by 24,86% in 2013 in comparison to 2012, whereas electricity consumption decreased by 5,19 % in that period.
This trend is explained by a decrease of 24,86 % in the electricity EF, as a result of the increasing penetration of renewable energy  in the national electricity mix."	Madrid Urban Area Cluster	386.25	382.5	373.125	623.6875	779.125	904.5	0.382449408998	0.317724016198	0.292045788083	0.617550591002	0.647180978092	0.707954211917	700.520766247	6895.00289506	573.012063418	6062.55338184	554.05409413	6264.93749373	1.55	1.63	2.5	2014	12.7%	7.7	40.0	80.0	0.25	112	0.02	48%	43%	43.0	66.0	57.0	50.0	48.0	52.0	6.0	31.0	15.0	59.0	77.0	28.0	RA	262.335	39288.0	5597301.93539	3156572.0	1.77322168967	1.75829744046	1.78814593886	21336.4664852	21156.8889711	21516.0439992	1	0.0213364664852	2.62335e+11
102	Makati	Philippines	Administrative boundary of a local government	(14.559004, 121.081632)	14.55	121.03	groupAsia	529039.0	582602	1.0	21.73	26810.9526001						1037	0	2016	2011-12-31 00:00:00	2011	1660370.0	462586.0	1197784.0		Grade A	CO2; CH4; N2O	1.0	1535908.01315	1546404.65161	1541156.33238	338124.013146	348620.651609	343372.332377	0.649049186123	0.874389222723	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	"Guidance from the following sources was also used: GHG Management in Local Governments: A Guide developed by the Greenhouse Gas Management Institute (GHGMI) with funding support from USAID, International Local Government Greenhouse Gas Emissions Analysis Protocol (IEAP) developed by ICLEI, and the newly published Global Protocol for Community-Scale Greenhouse Gas Emissions* from WRI, ICLEI and the C40 Climate Leadership Gourp were also used to supplement the GHG Protocol.

*GPC Pilot version 1.0 (May 2012) was re;eased as draft and opened for comments while the GHG inventory was taking place in Makati. The approach taken to complete the inventory is mostly similar to the one recommended in the Protocol, but there are some differences in content and terminology (e.f. defining inventory boundaries in terms of 'geographic' and 'geographic+' instead of 'basic' and 'basic+'."	Increased	"Scope 1 (Stationary Energy and Transport) and Scope 3 (Solid Waste) increased due to the following reasons:
a. During daytime, the City's population increases to more than 4 million as people from the Metropolitan Manila and other provinces go to the city to work, shop, do business, or simply dine and be entertained.
b. With the increasing population, waste generation also increases.
c. Increased construction and development projects are also observed leading to increased in the demand for energy.
d. More than 800,000 vehicles traverses the City each day as the City host of three (3) Metro Rail Transit (MRT) and Philippine National Railways (PNR) stations and gateway of four (4) major roads."	Makati Urban Area Cluster	821.875	928.875	1045.6875	1156.5	1242.5625	1357.125	0.415429329627	0.421820452417	0.435193133047	0.584570670373	0.564272131241	0.564806866953	1994.66646577	10385.1083299	2440.91452773	13323.559641	2798.24647384	16145.3418926	0.82	1.05																											343372.332377	529039.0	0.649049186122	0.639128709124	0.658969663123				1		
103	Manchester	United Kingdom	A metropolitan area	(53.4575955, -2.1578377)	53.467	357.767	groupEurope	2762000.0	2547700	1.0	1280.0	1990.390625	9.5	250.0	42.9	2.0	2227.0	0	2020	2016	2013-12-31 00:00:00	2013	14889318.0	9587290.0	5302028.0	S1 derived from TOT - S2 in CDP2016 dataset	Grade B	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3	1.0	13032448.1821	13486732.3358	13259590.259	7730420.18208	8184704.33584	7957562.25896	2.88108698731	3.47114047791	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	A GPC Compliant dataset has been established for Greater Manchester, including primary data from 2013. This work has been undertaken by Anthesis, who also support the World Resources Institute in the development of Carbon Reduction and emissions reporting and trajectory methodologies and reporting tools.	Decreased	Emissions decreased from is 18.4 to 18 million tonnes between 2012 and 2013. This represents a change from our 2015 GHG emissions tonnage figure.  This is due to inclusion of scope 3 emissions included in the Basic/Basic+ element of the inventory which GM commissioned which is now compliant with  the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI).  Previous submissions to CDP only included scope 1 and 2 emissions which drew directly from the national government DECC Local and Regional CO2 Emissions Estimates for 2005-2012 which used similar but not identical methodologies. This is part of a longer trend of decreasing emissions, punctuated with occasional increase years. Primary factors which determine the performance are the use of coal in any one year for grid electricity generation, and weather conditions during spring and autumn, where an extended heating season can occur if these are cold. A decline in total energy consumption is the most significant long term trend factor, due to the uptake of more energy efficient appliances, home adaptations, goods, services and transport	Manchester Urban Area Cluster	466.5	504.6875	557.375	1153.625	1189.375	1245.9375	0.287940745313	0.294568270529	0.309083977403	0.712059254687	0.694196184292	0.690916022597	588.116280035	3529.07073028	501.614092377	3490.40189967	420.811160357	3607.04103157	1.99	1.92	2.32	2009	9.9%	6.7	39.0	82.0	0.38	39	0.01	68%	79%	25.0	37.0	52.0	63.0	22.0	73.0	125.0	76.0	103.0	100.0	68.59	57.0	RA	92.26	35029.0	7957562.25896	2762000.0	2.88108698731	2.79884872631	2.96332524831	86251.4877407	83789.509886	88713.4655955	1	0.0862514877407	92260000000.0
104	Melbourne	Australia	Administrative boundary of a local government	(-37.814107, 144.96328)	-37.814	144.963	groupOceania	137889.0	138000	1.0	38.0	3631.57894737	15.0	31.0	37.32	177.0	685.0	62	1176	2016	2015-06-30 00:00:00	2015	4372420.0	785326.0	3587094.0		Grade A	CO2; CH4; N2O; HFCs; PFCs; SF6	1.0	4242374.79596	4265112.79664	4253743.7963	655280.795964	678018.796639	666649.796302	4.83468439326	5.69534915766	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	"City of Melbourne includes the emissions sources categorised in the GPC. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts.   
* Electricity, gas and water data was provided directly by the utility companies.  
* Emissions from private vehicle use were estimated using a transport model built by Council which incorporates data from twice yearly traffic surveys and data on vehicle use collected by the Australian Bureau of Statistics.  
*The amount of waste produced within the municipality was estimated from a waste survey commissioned by Council and conducted in 2012.
 *Water-borne emissions were included from a private study commissioned by the Port Authority in 2012."	Decreased	2013/14 BASIC (including Scope 3 emissions) totals 5,299,572 tCO2e compared to 2014/15 BASIC (including Scope 3 emissions) 5,268,410 tCO2e. This represents a total change of -0.59%. Despite electricity consumption decreasing in the municipality leading to lower scope 2 emissions, scope 1 and 3 emissions have increased. Over this time, the population has increased by 4.96%.	Melbourne Urban Area Cluster	523.8125	530.6875	504.4375	1624.0	1685.25	1802.375	0.24388185654	0.235769423002	0.218672952396	0.75611814346	0.748708835453	0.781327047604	200.947584676	1631.14148013	157.545123716	1779.79344146	99.6221463362	2119.06553777	1.28	1.23	2.1	2011					0.33	58	0.04	55%	58%	38.0	28.0	26.0	23.0	5.0	60.0	22.0	15.0	50.0	29.0	82.06	14.0	RA	178.392	40244.0	666649.796302	137889.0	4.83468439326	4.75223401405	4.91713477245	3736.99379065	3673.26335241	3800.72422888	1	0.00373699379065	1.78392e+11
105	Mexico City	Mexico	Other: the inhabitants, commercial establishments, services and industries located in the territory of Mexico City area	(19.4326077, -99.133208)	19.433	260.867	groupLatinAmer	8874724.0	8874724	1.0	1485.49	5974.27380864	16.0	2240.0	75.0	113.0	487.0	2547	5	2016	2014-12-31 00:00:00	2014	23655110.96	16842493.45	6812617.51		Grade A	CO2; CH4; N2O; HFCs	1.0	19341664.1433	21696520.0692	20519092.1063	12529046.6333	14883902.5592	13706474.5963	1.5444395337	1.8978047599	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Quality Assurance/Quality Control. Activities include calculations revision, data management, verification procedures and uncertainties calculation. With models adapted for the Mexico City	Decreased	"Emissions Inventory has a reduction of  4% due to:
• Lower consumption of fossil fuels in the residential sector
• Emission factor from grid-supplier energy consumed was actualize in 2012 it was 0.652 t CO2/MWh, now for 2014 Emissions Inventory it´s 0.49 t CO2 /MWh.
• The percentage to estimated emission by distribution losses from grid supplied changed from 16.6% in 2012 to 13.85% in 2014.
• Scope 3 emissions are higher becasuse the freight transport increased. We use vehicular traffic counts published by  the Secretaría de Comunicaciones y Transportes to know the number of vehicles entering and leaving to Mexico City, comparing  2012 vs 2014: Heavy trucks +28%,  tractor units +42%, private vehicles +8% 
• On the last inventory report (2012) we estimated the emissions from closed landfills (scope 1 and 3), now we estimated the residual emissions from closed landfills and active ones (newly open 2-3 years), as well as emissions from unmanaged landfills, like open dumpsites.; because of that, the 2014 emissions are bigger than 2012.
•For water treatment in  2014 inventory we did a TOW (Total Organics in Wastewater) update for untreated wastewater, and we adjusted the TOW according to the type of treatment systems plants wastewater reported for 2014."	Mexico City Urban Area Cluster	647.5	690.3125	713.625	1504.0	1639.4375	1762.9375	0.300952823611	0.292846537279	0.288151419558	0.699047176389	0.695487326334	0.711848580442	1601.35347133	11042.5627699	1216.20499532	11397.3326639	1154.57029075	11552.7272803	1.02	1.03	3.4	2016	13.3%	12.9	62.0	14.0	0.66	1	0.07	96%	101%	81.0	154.0	38.0	71.0	29.0	138.0	33.0	83.0	56.0	73.0	62.22	87.0	RA	403.561	19239.0	13706474.5963	8874724.0	1.5444395337	1.4117674683	1.6771115991	33963.8235516	31046.2275426	36881.4195604	1	0.0339638235516	4.03561e+11
106	Milano	Italy	Administrative boundary of a local government	(45.802578, 9.086356)	45.467	9.183	groupEurope	1350680.0	1350000	1.0	182.0	7417.58241758	15.5	122.0	26.7	263.0	1649.0	0	2650	2016	2013-12-31 00:00:00	2013	5976779.0	3728678.0	2248100.0		Grade A	CO2	0.999999832686								2.76059318269	Other	We didn't adopt any specific Protocol, anyway, let apart a few details,  the adopted methodology is compliant with the GPC Protocol. Just part of it. With respect to compact basic requirements (first year after the adhesion) only urban railway is missing, we are collecting data regarding this	N/A	"The most reliable comparison (for data completeness and coherence in the methodology ) can be made with reference to year 2005.
CO2 emissions decreased as a whole
 This is partially due to a decrease in the electricty national emission factor (due to better technologies and to the increasing quota of renewable energy sources ). Anyway if we calculate the emission inventory in 2005 and 2013 with the same electricity emission factor there is still a decrease in emissions
Despite a litlle increase in population there was a reduction both in the bulding and in the mobility sector. Regarding buildings there was a progressive fuel switch from diesel oils to methane, more efficient boilers, an extension of the district heating service and a reduction in domestic electricity consumption.
We registered also a decrease in traffic that together with the renovation of circulating vehicles generated a decrease of CO2 emissions in the mobility sector"	Milano Urban Area Cluster	606.1875	621.1875	627.0625	1337.4375	1394.9375	1478.0	0.311885008682	0.305777750431	0.297883079481	0.688114991318	0.686653950283	0.702116920519	321.84610333	3454.35124422	322.027547583	3373.6480499	330.684703427	3413.31041964	2.01	2.14	1.8	2013	9.0%	5.6	33.0	137.0	0.3	72	0.01	61%	54%	35.0	71.0	56.0	69.0	79.0	46.0	15.0	14.0	23.0	61.0	73.66	38.0	RA	312.108	41147.0	3728678.0	1350680.0	2.76059318269			11946.7556102			5	0.0119467556102	3.12108e+11
107	Minneapolis	USA	Administrative boundary of a local government	(44.983334, -93.26667)	44.983	266.733	groupUSA	407207.0	413651	1.0	139.7817603	2959.26306202	7.9	264.0	22.7	193.0	3512.0	27	1428	2016	2014-12-31 00:00:00	2014	4794708.0	2890572.0	1904136.0		Grade A	CO2; CH4; N2O	1.0	4388066.42093	4592907.82125	4490487.12109	2483930.42093	2688771.82125	2586351.12109	6.35144071956	7.09853219616	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	"A note regarding how double counting is avoided for stationary sources:
- natural gas consumption at stationary sources is removed from natural gas total and the associated emissions are part of the electricity sector.  
- electricity production due to waste incineration is removed from the electricity total and the associated emissions are part of solid waste sector."	Increased	Heating degree days increased 5.7% over the 2013 inventory, leading to a 8.9% increase in natural gas use.  The natural gas increase was the major contributor to the overall rise.  Electricity use fell 1.2%, while other categories changed less than 1% or total contribution to the inventory was negligible and of low confidence (solid waste).	Minneapolis Urban Area Cluster	545.875	539.8125	540.75	1302.125	1435.3125	1529.4375	0.295386904762	0.269216383019	0.261208223893	0.704613095238	0.715821956237	0.738791776107	403.683481671	1328.86569424	337.394320351	1367.25214768	305.246511299	1409.11448583	0.97	0.86	2.27	2011-2015	6.9%	6.4	40.0	81.0	0.16	166	0.01	27%	42%														211.398	60544.0	2586351.12109	407207.0	6.35144071956	6.09992073056	6.60296070856	12234.5108331	11750.0185476	12719.0031185	2	0.0122345108331	2.11398e+11
108	Moita	Portugal	Administrative boundary of a local government	(41.30284, -8.65731)	38.65	351.017	groupEurope	66029.0	66029	1.0	55.26	1194.87875498	17.5	10.0	36.867013087			73	464	2016	2013-12-31 00:00:00	2013	96508.0	49910.0	46598.0		Grade A	CO2	1.0								0.755879992125	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	This energy consumption ´s data were collected from Directorate General for Energy and Geology (DGEG)	Decreased	Consumption reduction	Moita Urban Area Cluster	31.3125	32.75	34.0	37.5625	42.375	44.5625	0.454627949183	0.43305785124	0.43277645187	0.545372050817	0.560330578512	0.56722354813	237.274489413	3833.99275693	155.494611865	3603.79453462	129.843209504	3320.16319945	1.64	1.89																											49910.0	66029.0	0.755879992125						1		
109	Montreal	Canada	Other: The regional entity that constitutes the agglomeration of Montreal (it is not the metropolitan area of Montreal whitch is bigger than the agglomeration of Montreal) - see Question 1 in the Introduction for more information	(45.5086699, -73.5539925)	45.5	286.433	groupCan	1886481.0	1704694	2.0	431.5	3950.62340672	6.8	17.0	29.7	83.0	3377.0	14	1579	2016	2009-12-31 00:00:00	2009	13722942.0	13634331.0	88611.0		Grade A	CO2; CH4; N2O	1.0	9840901.9217	11247704.9265	10544303.4241	9752290.9217	11159093.9265	10455692.4241	5.54243187401	7.22738845501	2006 IPCC Guidelines for National Greenhouse Gas Inventories	2006 IPCC Guidelines for National Greenhouse Gas Inventories AND Guide d'inventaire des émissions de gaz à effet de serre d'un organisme municipal (MDDEP, 2009)	Stayed the same	We have not produced a new inventory.	Montreal Urban Area Cluster	299.375	302.625	298.0625	891.9375	967.625	1051.8125	0.25129846283	0.233360643886	0.220807482174	0.74870153717	0.746156441274	0.779192517826	522.784493144	3015.49366304	412.667994303	3099.44351709	274.193705496	3272.81956113	1.16	1.17	2.8	2011	14.0%	9.7	52.0	27.0	0.29	86	0.03	48%	59%	54.0	46.0	29.0	32.0	8.0	65.0	90.0	34.0	52.0	47.0	76.49	31.0	RA	155.905	38867.0	10455692.4241	1886481.0	5.542431874	5.16956752901	5.91529621899	67064.5099522	62552.7784337	71576.2414708	3	0.0670645099522	1.55905e+11
110	Nagoya	Japan	Administrative boundary of a local government	(35.181446, 136.906398)	35.183	136.9	groupAsia	2274511.0	2283289	1.0	326.43	6994.72781301	16.1					71	2006	2016	2013-03-31 00:00:00	2013	13420000.0	7690000.0	5730000.0		Grade A	CO2; CH4; N2O; HFCs; PFCs; SF6	1.0	13236123.4013	13259624.5788	13247873.99	7506123.40128	7529624.57875	7517873.99002	3.30527044715	3.38094649795	Other	コメント欄のとおり:地球温暖化対策地方公共団体実行計画（区域施策編）策定マニュアル（第１版）に基づき、市内における人為的な活動に伴う排出量を把握している。	Decreased	市内におけるエネルギー消費量が減少したことに加えて、電気事業者の取組みによって電力原単位が改善したことが大きく影響している。	Nagoya Urban Area Cluster	1010.3125	1009.6875	994.0	2927.3125	3062.75	3140.1875	0.256579156217	0.247260315905	0.240434184468	0.743420843783	0.750030610995	0.759565815532	319.944530318	2877.91187498	310.848403777	2897.39667032	296.385041627	2938.63749959	1.1	1.38	2.13	2015										14.0	32.0	51.0	64.0	113.0	38.0	100.0	128.0	147.0	155.0	63.71	81.0	RA	363.751	40144.0	7517873.99002	2274511.0	3.30527044715	3.30010424275	3.31043665155	20667.6379997	20635.3340645	20699.9419349	5	0.0206676379997	3.63751e+11
112	Nashville-Davidson	USA	Administrative boundary of a local government	(36.1627, -86.7816)	36.155	273.238	groupUSA	678889.0	660388	1.0	1230.5819487	536.646909779	15.1	182.0	24.1			247	493	2017	2014-01-03 03:14:00	2014	12481363.0	6680194.0	5801169.0	Replaced by CDP2017 data. Reason:  TOT = s1, s2 does not exist (Case 1b) in CDP2016. Soln: Replace with CDP2017 values (TOT, s1 and s2)	Grade A	CO2; CH4; N2O	1.0	11803416.6607	12144924.9684	11974170.8145	6002247.66073	6343755.96835	6173001.81454	9.0927998753	9.8398913519	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Increased	There was a small increase since the 2011 inventory, which was an incomplete inventory due to limited availability of data. Because of limited documentation of the 2011 inventory, it is difficult to compare the two inventories. There has been a decrease in emissions since the 2005 inventory, even with a growing population. Contributing to decreases in reported community emissions are lower emissions from Nashville’s electric power source, TVA (their emissions per unit energy output declined by about 15% from 2005 to 2014), and more efficient vehicles (vehicle CO2e emissions per mile have decreased from about 450 to 350 grams/mile between 2005 and 2014). Meanwhile (although specific data is unavailable to demonstrate the quantity), building energy efficiency has been improving through both new and retrofit projects during this time frame. LEED certification and Energy Star are examples of growing programs that help improve building energy efficiency.	Nashville Urban Area Cluster	283.4375	288.9375	280.4375	433.75	501.75	568.5	0.395206971678	0.358344314394	0.330339394832	0.604793028322	0.622277342842	0.669660605168	310.799419634	917.59966132	252.010042736	992.199574554	222.978286435	1093.33754966	0.97	0.86	2.4	2011-2015	11.4%	5.8	34.0	126.0																			94.968	53193.0	6173001.81454	678889.0	9.0927998753	8.8412798863	9.34431986429	65000.8614959	63202.8437024	66798.8792893	1	0.0650008614959	94968000000.0
113	New Orleans	USA	A metropolitan area	(29.9511, -90.0715)	29.95	269.933	groupUSA	389617.0	391495	1.0	438.7961058	892.202539688	20.9	-1.0	23.4			1634	281	2016	2014-12-31 00:00:00	2014	4558575.0	2419891.0	2138684.0	S1 derived from TOT - S2 in CDP2016 dataset	Grade B	CO2; CH4; N2O	1.0	4169498.99661	4365491.92372	4267495.46016	2030814.99661	2226807.92372	2128811.46016	5.46385671098	6.21094818758	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		First year of calculation		New Orleans Urban Area Cluster	126.5	135.75	140.5625	483.5	503.0625	530.25	0.20737704918	0.210648821647	0.209540668965	0.79262295082	0.78062263602	0.790459331035	225.616644437	2535.30380237	129.310859136	1992.5398564	48.9020502282	1393.65111001	0.97	0.86	2.38	2011-2015	7.0%	4.5	26.0	227.0	0.23	123	0.01	33%	50%														74.225	58762.0	2128811.46016	389617.0	5.46385671098	5.21233672199	5.71537669999	28680.5181564	27360.2559328	30000.7803802	1	0.0286805181564	74225000000.0
114	New Taipei	Taiwan	Administrative boundary of a local government	(25.0111, 121.4458)	25.011	121.446	groupAsia	3966818.0	3972204	1.0	2052.57	1935.23436472	21.0	10.0				310	302	2016	2014-12-31 00:00:00	2014	17233924.0	6149934.0	11083990.0		Grade A	CO2; CH4; N2O; HFCs; PFCs; SF6	1.0	15576229.2661	15798734.487	15687481.8765	4492239.26608	4714744.48697	4603491.87653	1.16049989602	1.55034438182	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	GHG Protocol is working to give cities the standards and tools they need to measure their emissions, build more effective emissions reduction strategies, set measurable and more ambitious emission reduction goals, and to track their progress more accurately and comprehensively.	Increased	Population growing and new regulation on emissions reporting for high carbon-density industries.																				0.98	0.98	2.7	2013																									4603491.87653	3966818.0	1.16049989602	1.13245408942	1.18854570262				1		
115	New York City	USA	Administrative boundary of a local government	(40.7127837, -74.0059413)	40.713	285.994	groupUSA	8537673.0	8537673	1.0	783.8345736	10892.1873155	13.0	10.0	34.9	286.0	1930.0	42	1341	2017	2015-01-03 03:15:00	2015	53306007.0	38962264.0	14343743.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	Grade A-	CO2; CH4; SF6; N2O	1.0	44780188.8527	49074979.6907	46927584.2717	30436445.8527	34731236.6907	32583841.2717	3.81647801125	4.56356948785	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased	The most significant driver was a milder winter in 2015 versus 2014.	New York City Urban Area Cluster	1824.625	1825.1875	1606.1875	4594.875	4974.0625	5625.1875	0.284231637978	0.264764546955	0.2221137059	0.715768362022	0.721545268273	0.7778862941	402.957774437	3252.17467446	350.996824999	3219.37349874	259.77079626	2971.2298464	0.97	0.86	2.65	2011-2015	12.8%	17.4	89.0	3.0						4.0	153.0	1.0	4.0	6.0	82.0	11.0	5.0	5.0	2.0	100.0	1.0	A	1403.463	69915.0	32583841.2717	8537673.0	3.81647801124	3.56495802225	4.06799800024	23216.7440622	21686.6749267	24746.8131976	1	0.0232167440622	1.403463e+12
